Taken_product,Yearly_avg_view_on_travel_page_code,Daily_Avg_mins_spend_on_traveling_page_code,montly_avg_comment_on_company_page_code,total_likes_on_outofstation_checkin_received_code,Yearly_avg_comment_on_travel_page_code,total_likes_on_outstation_checkin_given_code,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,week_since_last_outstation_checkin,following_company_page,working_flag,travelling_network_rating,Adult_flag
0,2,1,2,3,2,2,7,4,9,3,0,0,4,1
0,4,2,2,6,4,4,15,4,7,2,1,0,2,0
0,3,0,2,2,3,3,2,4,7,2,0,1,3,1
0,2,1,3,0,2,2,5,2,7,2,1,0,3,0
0,2,1,1,1,2,2,20,1,8,3,0,0,2,0
0,2,0,2,1,2,2,10,4,9,10,0,0,3,0
1,2,0,3,0,2,2,24,2,7,3,1,1,2,0
0,2,1,3,1,2,2,15,3,7,1,0,0,4,1
0,2,1,3,1,2,2,2,1,11,3,0,1,4,0
0,3,3,2,6,3,3,22,3,8,4,0,0,2,1
0,2,1,3,1,2,2,6,3,1,1,0,0,1,1
0,3,1,2,2,3,3,1,4,8,4,0,0,3,0
0,2,1,2,2,2,2,1,2,7,3,1,0,3,1
1,2,0,3,0,2,2,24,3,10,2,0,0,4,0
0,2,2,2,2,2,2,22,4,1,3,1,0,2,0
0,2,2,2,0,2,2,8,3,8,1,1,0,3,1
1,2,1,2,1,2,2,5,2,7,5,1,0,1,0
0,3,3,2,6,3,3,2,1,7,5,0,0,4,0
1,2,0,2,1,2,2,22,3,11,2,0,0,1,0
0,2,1,3,2,2,2,1,3,7,3,0,1,2,0
1,2,1,3,2,2,2,26,4,9,3,1,0,3,0
0,2,1,2,2,2,2,7,2,7,1,0,1,3,1
0,2,0,3,1,2,2,1,4,1,0,1,0,2,1
0,3,1,2,2,3,3,11,3,10,1,0,0,1,1
0,2,1,2,2,2,2,6,4,7,4,0,0,4,1
1,1,0,2,0,1,1,9,3,9,2,0,0,1,1
0,2,2,2,2,2,2,4,2,7,9,0,0,2,1
1,3,1,2,2,3,3,1,4,7,8,0,0,4,1
0,2,1,2,2,2,2,18,4,7,3,1,0,4,1
0,2,1,2,1,2,2,23,2,8,4,0,0,3,1
0,3,2,2,2,3,3,2,3,8,4,0,0,4,0
0,3,1,3,2,3,3,8,1,7,1,0,1,4,1
0,2,1,2,1,2,2,3,4,7,1,1,0,3,0
0,2,1,2,1,2,2,2,2,7,0,0,0,3,0
0,2,1,3,3,2,2,23,3,7,0,0,1,2,0
1,2,1,3,1,2,2,16,1,7,2,1,1,2,0
0,2,1,3,2,2,2,1,3,7,2,0,0,1,1
0,2,1,2,3,2,2,8,3,7,3,0,0,4,0
0,2,1,3,1,2,2,1,2,8,2,0,1,4,0
0,3,1,3,2,3,3,5,4,9,4,1,1,3,0
0,2,1,2,5,2,2,1,2,7,2,1,0,3,0
0,2,1,3,3,2,2,18,5,7,1,0,1,4,1
0,2,1,2,0,2,2,29,5,7,1,0,0,4,0
0,2,1,2,2,2,2,11,3,7,1,0,0,3,0
0,2,0,3,0,2,2,1,3,8,4,0,0,4,1
0,4,2,2,2,4,4,1,1,7,7,0,0,4,0
0,3,3,3,5,3,3,1,4,7,1,0,1,4,1
0,3,2,3,4,3,3,1,3,8,3,1,0,3,1
1,1,0,3,1,1,1,6,3,7,2,1,0,2,0
0,3,3,3,6,3,3,1,3,7,4,1,0,1,0
0,3,2,3,3,3,3,1,4,8,5,0,1,3,0
1,2,1,3,2,2,2,7,3,7,3,1,1,4,0
0,2,1,3,3,2,2,11,2,10,2,0,0,3,1
0,3,2,2,6,3,3,26,2,7,3,1,0,4,1
0,2,1,3,1,2,2,23,3,7,1,0,1,3,1
0,3,2,2,1,3,3,28,3,8,5,0,0,4,0
0,3,1,3,3,3,3,12,3,9,5,0,0,4,0
1,3,2,3,4,3,3,8,4,7,3,0,0,4,0
0,2,1,3,1,2,2,9,2,8,1,0,0,4,1
0,3,2,1,6,3,3,10,3,7,5,0,0,2,1
0,3,2,3,2,3,3,26,3,8,3,0,0,1,1
0,2,1,2,3,2,2,8,3,9,3,0,0,4,0
0,2,1,3,0,2,2,2,4,9,8,0,0,4,1
1,1,0,3,0,1,1,1,1,10,2,0,1,1,0
0,2,1,2,0,2,2,3,2,8,6,0,0,3,0
0,2,1,2,3,2,2,2,1,7,1,0,0,3,0
0,2,1,2,1,2,2,2,3,8,7,0,0,4,0
0,2,1,3,1,2,2,1,1,10,6,0,0,3,1
0,2,0,3,1,2,2,10,4,8,3,1,0,4,1
0,2,1,2,0,2,2,18,1,8,3,0,0,1,0
0,2,1,3,4,2,2,20,3,7,2,0,0,4,0
1,2,1,2,2,2,2,26,4,9,6,0,0,3,0
0,2,1,2,4,2,2,11,3,1,1,1,0,3,1
0,2,1,3,1,2,2,4,4,9,4,0,0,3,1
0,2,1,2,3,2,2,1,1,8,1,0,0,4,1
0,2,1,2,3,2,2,1,3,9,2,0,0,1,0
0,2,1,3,5,2,2,3,4,8,9,0,0,1,1
0,3,1,2,2,3,3,7,4,7,5,0,0,4,1
1,2,2,2,4,2,2,10,3,8,8,0,0,2,1
0,3,2,3,4,3,3,2,4,10,2,0,1,4,0
1,2,1,2,1,2,2,29,2,8,0,0,0,2,0
0,2,1,3,1,2,2,7,3,7,3,0,1,3,0
0,2,1,3,2,2,2,1,3,7,1,0,1,1,1
0,2,0,3,1,2,2,2,2,7,3,0,0,1,0
0,2,1,3,1,2,2,11,2,8,3,1,0,3,1
1,3,2,3,1,3,3,24,3,7,4,1,1,4,1
0,3,3,2,6,3,3,10,4,7,9,1,0,4,0
0,2,0,2,1,2,2,5,3,9,1,0,0,3,1
0,2,0,2,0,2,2,9,3,8,3,1,0,3,1
0,3,3,3,5,3,3,26,3,9,6,0,0,4,1
0,2,0,2,1,2,2,18,4,7,6,0,0,4,1
0,3,2,3,2,3,3,7,3,7,1,0,0,1,1
0,2,1,2,4,2,2,5,4,7,8,0,0,2,1
0,3,1,3,0,3,3,10,4,7,0,0,0,1,0
0,2,1,3,3,2,2,7,2,7,2,0,1,1,1
0,3,2,3,6,3,3,7,2,8,1,0,0,1,1
0,2,0,2,1,2,2,10,3,9,5,0,0,3,0
0,3,1,2,2,3,3,10,4,7,3,0,0,2,1
0,4,2,2,1,4,4,20,4,7,3,0,0,4,0
0,3,0,3,1,3,3,4,1,8,5,0,0,1,0
1,1,0,2,0,1,1,1,1,10,2,1,0,3,0
0,2,2,3,3,2,2,3,4,8,5,0,0,1,1
1,3,0,3,3,3,3,4,3,9,3,0,0,3,0
1,2,0,3,1,2,2,3,1,10,0,0,1,3,0
1,2,1,3,0,2,2,4,3,10,11,1,1,3,0
0,3,1,3,0,3,3,21,3,8,9,0,1,1,1
0,2,2,2,6,2,2,1,1,7,3,1,0,3,1
0,4,3,2,5,4,4,6,3,7,10,0,0,4,1
0,3,2,2,1,3,3,29,2,7,3,0,0,2,1
0,3,1,2,1,3,3,28,4,10,0,0,0,4,1
1,2,0,2,0,2,2,6,2,9,2,0,0,4,1
0,2,0,3,0,2,2,2,2,7,2,1,1,3,1
0,4,2,3,4,4,4,28,3,9,6,0,0,4,0
1,2,1,2,3,2,2,20,3,7,5,0,0,1,0
1,2,1,2,4,2,2,23,3,11,9,1,0,3,1
0,3,1,3,0,3,3,5,2,1,6,0,0,4,1
1,1,1,3,1,1,1,4,1,10,7,0,0,3,0
0,2,1,2,1,2,2,8,1,7,1,0,0,1,1
1,2,1,3,1,2,2,17,4,7,2,1,0,2,1
1,1,0,3,0,1,1,5,3,9,3,1,0,4,0
0,3,2,2,4,3,3,18,1,8,7,0,0,4,0
0,1,0,3,0,1,1,24,3,8,1,0,0,3,1
0,3,3,2,6,3,3,3,3,8,1,0,0,3,1
1,1,0,3,1,1,1,7,3,7,2,1,0,4,1
1,2,0,3,0,2,2,12,4,7,3,0,0,3,1
0,3,1,2,2,3,3,9,5,8,5,1,0,2,1
0,2,0,3,0,2,2,3,3,8,3,0,1,3,1
1,3,0,2,1,3,3,26,4,7,3,0,0,4,1
0,2,1,3,3,2,2,6,3,7,3,0,1,3,1
1,2,1,2,1,2,2,3,3,7,1,1,0,1,0
0,2,1,3,1,2,2,1,4,7,2,0,0,4,1
0,2,1,3,1,2,2,3,1,8,2,1,1,2,1
1,3,1,2,2,3,3,8,2,10,3,1,0,1,1
0,3,2,2,4,3,3,5,4,7,5,1,1,3,1
0,2,1,3,3,2,2,10,2,7,2,0,1,3,1
0,3,3,2,5,3,3,3,3,8,10,1,0,4,1
1,3,1,1,1,3,3,19,3,8,8,1,0,4,0
0,3,0,2,2,3,3,15,3,7,5,0,0,3,1
0,2,1,2,2,2,2,24,4,7,3,0,0,4,1
1,3,1,3,2,3,3,27,2,7,4,1,0,4,0
0,1,0,2,1,1,1,1,2,7,5,0,0,1,1
0,2,1,3,1,2,2,8,1,9,2,0,0,2,1
0,2,2,2,2,2,2,2,4,7,6,1,0,4,0
0,3,1,3,1,3,3,2,2,8,1,0,1,4,1
0,3,3,2,6,3,3,8,3,7,3,0,0,2,1
0,3,1,3,2,3,3,16,4,8,7,0,0,4,0
0,2,1,3,2,2,2,12,3,7,3,0,0,3,1
0,2,0,3,1,2,2,16,4,7,1,0,0,3,0
1,2,0,3,0,2,2,5,2,8,2,1,0,1,1
0,2,1,1,1,2,2,5,4,7,10,0,0,2,1
0,4,3,3,5,4,4,25,4,8,5,0,1,3,0
0,3,1,2,1,3,3,2,1,8,7,1,0,4,0
1,2,1,3,0,2,2,25,4,7,3,1,0,1,1
0,2,0,3,2,2,2,5,2,7,1,0,0,4,1
0,2,1,3,1,2,2,21,2,8,7,0,0,2,1
0,3,2,3,2,3,3,1,3,7,5,0,0,2,1
1,4,0,2,0,4,4,2,1,7,11,1,0,4,1
0,2,1,1,1,2,2,1,3,8,3,0,0,2,0
0,3,0,2,1,3,3,9,4,8,9,1,0,4,1
0,2,0,2,0,2,2,20,3,10,2,0,0,2,1
0,3,2,2,2,3,3,16,4,8,3,1,0,3,0
0,2,0,2,2,2,2,1,4,1,3,1,0,1,1
0,3,2,3,6,3,3,9,3,8,3,0,0,2,1
0,2,1,2,1,2,2,10,1,8,1,0,0,2,1
0,2,1,3,1,2,2,1,1,7,3,0,0,3,1
1,2,1,3,0,2,2,5,3,8,1,0,0,1,0
0,4,1,3,2,4,4,18,4,8,5,1,0,4,1
0,3,2,3,4,3,3,22,3,8,1,1,0,3,0
0,4,3,2,3,4,4,2,3,9,3,0,0,1,1
1,2,1,3,0,2,2,2,3,7,6,1,0,2,1
0,2,1,3,1,2,2,3,4,1,5,0,0,1,1
0,2,1,3,0,2,2,1,1,8,3,0,0,3,1
0,4,2,3,1,4,4,9,3,8,2,0,0,2,1
1,1,0,2,0,1,1,9,3,9,1,1,0,2,0
0,4,3,3,4,4,4,2,1,7,4,0,0,2,1
1,2,2,3,1,2,2,29,4,8,1,0,1,2,0
0,2,1,2,3,2,2,3,1,7,1,0,0,3,0
1,2,0,2,1,2,2,1,3,8,2,0,0,1,1
1,3,1,3,1,3,3,1,4,1,4,1,0,4,0
0,2,0,3,1,2,2,7,3,7,0,0,0,3,1
0,3,2,2,4,3,3,27,3,7,9,0,0,3,1
1,2,2,1,4,2,2,2,3,7,9,0,0,4,1
0,2,0,1,1,2,2,20,3,7,0,0,0,1,1
0,2,0,2,2,2,2,11,2,9,1,0,0,4,1
0,2,0,1,1,2,2,2,2,7,3,0,0,4,0
0,2,1,3,1,2,2,10,3,7,1,0,0,4,1
0,2,0,2,1,2,2,6,3,7,3,1,0,4,1
1,2,1,3,1,2,2,15,3,8,1,0,0,3,1
0,3,2,2,5,3,3,9,4,8,11,0,0,3,0
1,3,2,3,5,3,3,12,3,7,1,1,0,2,0
0,3,2,2,1,3,3,26,2,8,5,1,0,4,1
0,2,1,3,2,2,2,1,3,8,0,0,1,3,0
0,2,0,2,0,2,2,4,4,1,1,0,0,2,1
1,1,0,2,1,1,1,3,4,7,2,1,0,2,1
0,3,0,2,1,3,3,2,4,8,6,0,0,4,1
0,3,3,3,6,3,3,2,3,8,4,0,1,3,1
0,2,1,2,1,2,2,25,3,8,2,0,0,1,1
0,2,0,2,1,2,2,13,3,1,2,0,1,3,1
0,2,1,2,2,2,2,2,2,7,4,1,0,4,0
